Atlas	Labels	Corr	RV	HR	SWI_Density	ToF_Density
TractSeg	FPT_right	0.443517988344262	0.477728956543212	0.409307020145311	0.0270942610325628	0.0117108564169819
TractSeg	MCP	0.43029707988182	0.477256209575896	0.383337950187745	0.0292867485051587	0.0303453055483818
TractSeg	FPT_left	0.428446506413475	0.461392710982276	0.395500301844675	0.0273422076777353	0.0119929654940007
TractSeg	POPT_right	0.426734545893621	0.462274452966093	0.391194638821149	0.0248037518093724	0.010134356099493
TractSeg	POPT_left	0.422709983459527	0.458416538849539	0.387003428069515	0.0246279145899276	0.011857884773415
TractSeg	SCP_right	0.420714131028446	0.478922585715376	0.362505676341516	0.0390967156928297	0.0147198665762327
TractSeg	CST_right	0.418800887474464	0.463124023595528	0.3744777513534	0.0288900471526512	0.0115212377844754
TractSeg	T_PREF_right	0.41493465686636	0.426761695274803	0.403107618457918	0.0142074123360587	0.00314726550421499
TractSeg	CST_left	0.410334368096327	0.458413453748378	0.362255282444275	0.0293251109583507	0.0137839595898922
TractSeg	SCP_left	0.403930172022901	0.455657751563539	0.352202592482264	0.0440976523349204	0.0125146696948335
TractSeg	ATR_right	0.400154888904047	0.417281728182331	0.383028049625763	0.0191713343796344	0.00454208134997054
TractSeg	T_PREF_left	0.398155844938348	0.403366061874919	0.392945628001777	0.0130197026569083	0.00269487178986243
Tian	aTHA-lh	0.38758829905116	0.443237620394928	0.331938977707393	0.0444139463879416	0.0207722530130992
TractSeg	T_PREM_right	0.385878989827643	0.426940533416814	0.344817446238473	0.0225968427390967	0.00553122383683643
Tian	aTHA-rh	0.385033090682204	0.444294940499607	0.325771240864801	0.0329345955021062	0.0201646722236257
TractSeg	ATR_left	0.384255138454245	0.397948070493558	0.370562206414932	0.0177790238587131	0.00390456174753599
TractSeg	T_PAR_right	0.383391232505146	0.402885268112212	0.36389719689808	0.016283199887804	0.00425049573073275
Schaefer	RH_SomMotB_Aud_2	0.38306038679669	0.44175608319204	0.324364690401339	0.065021517977995	0.0524533695157836
TractSeg	ST_PREF_right	0.382820681425083	0.383118725597991	0.382522637252176	0.0168947596260054	0.00204218259080388
TractSeg	T_PREC_right	0.382760119293764	0.405054273211286	0.360465965376243	0.0124953530784136	0.00382199587359378
TractSeg	CC	0.375994330159306	0.354218909043824	0.397769751274789	0.0097907179494962	0.00217415062855869
TractSeg	T_PREC_left	0.375339335120622	0.393166519884389	0.357512150356856	0.0117466311103115	0.00291041631968648
TractSeg	ST_PREC_left	0.374378602950993	0.375576693834823	0.373180512067163	0.015836695198672	0.0025263643231255
TractSeg	T_PREM_left	0.372446114266759	0.400725985094703	0.344166243438815	0.0198327232251667	0.00487470975646738
TractSeg	ST_POSTC_right	0.371955831217557	0.38632227802519	0.357589384409925	0.018716313776442	0.003214133314785
Schaefer	LH_SalVentAttnB_PFCmp_1	0.371266202434915	0.421989404344406	0.320543000525424	0.0604426585386835	0.0447676954814891
Schaefer	LH_SomMotB_Aud_2	0.371065440355152	0.413694538846069	0.328436341864235	0.0389746128600471	0.0175211541658762
TractSeg	T_POSTC_right	0.371028054958543	0.400781584995825	0.341274524921262	0.0146675570676588	0.00499498811996963
TractSeg	ST_PAR_right	0.369952323142068	0.370735384233862	0.369169262050275	0.0176292170713674	0.00227959823767566
TractSeg	ST_PREC_right	0.368966252944744	0.375830607081097	0.362101898808392	0.0178619166915549	0.00276284116285146
TractSeg	ST_PREF_left	0.368801155296151	0.367906277339134	0.369696033253168	0.0148265940207186	0.00198324517642962
TractSeg	IFO_left	0.367478341658642	0.370997106357847	0.363959576959438	0.0174251890321168	0.00119515705837594
TractSeg	IFO_right	0.367318100379875	0.366244677086103	0.368391523673648	0.0246349318705123	0.00221967815135551
Schaefer	RH_SomMotB_S2_6	0.365719702196391	0.386908704557539	0.344530699835244	0.0404934536478694	0.0384216954118957
Schaefer	RH_SomMotB_S2_4	0.362731214399213	0.407407037089433	0.318055391708992	0.0611739022036393	0.0370811010158159
Schaefer	RH_SalVentAttnB_PFCmp_2	0.361115313433458	0.406313812829567	0.31591681403735	0.0227142407627908	0.0114232783641996
TractSeg	ST_POSTC_left	0.361070868482066	0.374684972956801	0.347456764007331	0.0144847953597311	0.00261363252252676
Schaefer	LH_SomMotB_Cent_5	0.360459298582746	0.357593953059478	0.363324644106014	0.0657538136369304	0.0139780339964649
TractSeg	CC_6	0.35963259582998	0.351797011208357	0.367468180451603	0.0109245071703143	0.00197342679606037
Schaefer	LH_SomMotB_S2_4	0.358843339433682	0.38610274694579	0.331583931921574	0.0267031106712489	0.00693860361031417
TractSeg	STR_right	0.35846853365644	0.381792277600911	0.33514478971197	0.0127099082687276	0.00440231460150673
TractSeg	ST_OCC_right	0.358098416650066	0.360349771959804	0.355847061340328	0.0272034613542989	0.00172219460695817
Schaefer	RH_SomMotB_Cent_3	0.357712895990891	0.349018624022368	0.366407167959415	0.0459284012416197	0.0205546805274583
TractSeg	T_PAR_left	0.357436351012107	0.367652426331348	0.347220275692867	0.0114376794228116	0.00248221979084143
Schaefer	RH_SomMotB_Aud_3	0.357325814376573	0.396289242124667	0.318362386628479	0.0323189598257328	0.024692289277496
TractSeg	T_POSTC_left	0.356239926709955	0.382223413783707	0.330256439636203	0.0116920727258548	0.00352134133223444
TractSeg	T_OCC_right	0.353771447711049	0.375339779060578	0.33220311636152	0.0228414263410455	0.00413982759420525
TractSeg	ST_OCC_left	0.353649638880013	0.356754433982259	0.350544843777767	0.0218615833576228	0.00103788268058858
Schaefer	RH_SomMotB_Cent_2	0.353549335254523	0.341241466440847	0.3658572040682	0.0424726642507674	0.0342199314899486
TractSeg	CG_right	0.352011262853313	0.365987212607579	0.338035313099046	0.0064981889087369	0.00188295239932669
Schaefer	RH_SalVentAttnB_PFCmp_1	0.351036473041247	0.396611303737345	0.305461642345149	0.0277761825919151	0.00849354344255784
TractSeg	CC_7	0.350221401927368	0.350694850321429	0.349747953533307	0.0201919224443006	0.00279888033134038
Schaefer	LH_VisCent_ExStr_3	0.349689716535266	0.370842716499284	0.328536716571248	0.0722142485510401	0.00976976111572998
Schaefer	LH_VisCent_Striate_1	0.349435418240425	0.374400988950286	0.324469847530565	0.0580449968489797	0.0484023425699204
Schaefer	RH_VisCent_Striate_1	0.348455867280164	0.37261620683504	0.324295527725288	0.0507479882041337	0.0430815139466765
Schaefer	LH_SomMotA_2	0.3480712462687	0.360899623709859	0.335242868827541	0.0215426510965764	0.00866658391837541
TractSeg	OR_right	0.3462873158258	0.370842257029852	0.321732374621749	0.0225916107878016	0.00462505418197456
Schaefer	LH_SalVentAttnA_FrMed_1	0.346247700089511	0.385737659241916	0.306757740937107	0.0551698692987488	0.0250046067409011
TractSeg	ST_PAR_left	0.345810753063201	0.346878649469144	0.344742856657258	0.012507432537095	0.00173395089354825
