,Atlas,Labels,SWI_Density,ToF_Density,RV,HR,Corr
244,Schaefer,RH_SomMotB_Aud_2,0.06502151797799503,0.052453369515783645,0.44175608319204,0.324364690401339,0.3830603867966895
107,Schaefer,LH_SalVentAttnB_PFCmp_1,0.06044265853868352,0.04476769548148913,0.421989404344406,0.320543000525424,0.37126620243491504
44,Schaefer,LH_SomMotB_Aud_2,0.03897461286004709,0.017521154165876154,0.413694538846069,0.328436341864235,0.371065440355152
252,Schaefer,RH_SomMotB_S2_6,0.04049345364786944,0.03842169541189569,0.386908704557539,0.344530699835244,0.3657197021963915
250,Schaefer,RH_SomMotB_S2_4,0.06117390220363935,0.03708110101581589,0.407407037089433,0.318055391708992,0.3627312143992125
311,Schaefer,RH_SalVentAttnB_PFCmp_2,0.02271424076279076,0.011423278364199626,0.406313812829567,0.31591681403735,0.3611153134334585
58,Schaefer,LH_SomMotB_Cent_5,0.06575381363693036,0.013978033996464913,0.357593953059478,0.363324644106014,0.360459298582746
51,Schaefer,LH_SomMotB_S2_4,0.02670311067124893,0.006938603610314172,0.38610274694579,0.331583931921574,0.35884333943368196
257,Schaefer,RH_SomMotB_Cent_3,0.04592840124161974,0.020554680527458267,0.349018624022368,0.366407167959415,0.3577128959908915
248,Schaefer,RH_SomMotB_Aud_3,0.03231895982573276,0.024692289277495984,0.396289242124667,0.318362386628479,0.35732581437657296
256,Schaefer,RH_SomMotB_Cent_2,0.042472664250767435,0.03421993148994857,0.341241466440847,0.3658572040682,0.3535493352545235
310,Schaefer,RH_SalVentAttnB_PFCmp_1,0.02777618259191513,0.00849354344255784,0.396611303737345,0.305461642345149,0.35103647304124697
2,Schaefer,LH_VisCent_ExStr_3,0.07221424855104014,0.009769761115729976,0.370842716499284,0.328536716571248,0.34968971653526604
6,Schaefer,LH_VisCent_Striate_1,0.05804499684897966,0.048402342569920445,0.374400988950286,0.324469847530565,0.3494354182404255
206,Schaefer,RH_VisCent_Striate_1,0.05074798820413369,0.043081513946676454,0.37261620683504,0.324295527725288,0.348455867280164
25,Schaefer,LH_SomMotA_2,0.02154265109657636,0.008666583918375412,0.360899623709859,0.335242868827541,0.3480712462687
97,Schaefer,LH_SalVentAttnA_FrMed_1,0.055169869298748765,0.025004606740901093,0.385737659241916,0.306757740937107,0.3462477000895115
56,Schaefer,LH_SomMotB_Cent_3,0.03159357885313775,0.011626437074779847,0.330312520808387,0.359791308006688,0.3450519144075375
254,Schaefer,RH_SomMotB_S2_8,0.030629607437308446,0.04225751424078331,0.377249748959111,0.311648539525489,0.3444491442423
307,Schaefer,RH_SalVentAttnB_PFCl_3,0.030949597323235625,0.021902212092920655,0.349705124158668,0.339183930825669,0.3444445274921685
165,Schaefer,LH_DefaultA_PFCm_6,0.050875682958159675,0.05119802069230752,0.395578752305454,0.292898884579922,0.344238818442688
101,Schaefer,LH_SalVentAttnB_PFCl_2,0.02570863448332148,0.010314474732204917,0.35263260355432,0.334056985999229,0.3433447947767745
